Program Adi;Yil;Toplam Basvuru;Katilimci Sayisi;Mezun Sayisi;Mezuniyet Orani (%);Egitim Duzeyi Dagilimi;Erisim Bolgesi (Sehirler);Gelisim Orani / Geri Bildirim
TEP (Basic);2025;Veri Yok;2041;862;42.23%;Lisans: 1176, Lise: 426, Lise Mezunu: 255, Lisans Mezunu: 90, Lisansüstü: 55, Ön Lisans: 33, Diğer: 6;72 Şehir (İstanbul: 823, Ankara: 260, İzmir: 174, Bursa: 65, Eskişehir: 49, Kocaeli: 47, Manisa: 46, Adana: 42, Kayseri: 35, Gaziantep: 32, Diğer: 447);Veri Yok
Öğretmen Eğitimi;2025;Veri Yok;464;180;38.79%;Lisans: 171, Lisans Mezunu: 158, Lisansüstü Öğrencisi: 58, Lisansüstü Mezunu: 54, Doktora Öğrencisi: 7, Yüksek Lisans: 4, Doktora Mezunu: 4, Diğer: 8;61 Şehir (İstanbul: 134, Ankara: 61, Bursa: 19, Kocaeli: 18, İzmir: 16, Eskişehir: 14, Adana: 12, Kayseri: 12, Mersin: 11, Antalya: 10, Diğer: 146);Sponsorlar: Zorlu Holding, Yetkin Gençler
Doping Hafıza Eğitimi;2025;Veri Yok;650;500;76.92%;Lise: 414, Lise Mezunu: 236;77 Şehir (İstanbul: 97, Ankara: 58, İzmir: 37, Bursa: 24, Gaziantep: 21, Kayseri: 21, Konya: 19, Adana: 18, Kocaeli: 17, Mersin: 17, Diğer: 318);Sponsor: Doping Hafıza
Ulus Özel Musevi Lisesi (UÖML);2025;Veri Yok;152;152;100.00%;9. Sınıf: 45, 10. Sınıf: 32, 11. Sınıf: 20, 12. Sınıf: 24, Mezun/Diğer: 31;Tek Şehir (İstanbul: 152);Gelişim: %100 başarı
İyi Niyet Derneği Programı;2025;Veri Yok;360;0;0.00%;4. Sınıf: 87, 2. Sınıf: 86, 3. Sınıf: 81, 1. Sınıf: 60, 5. Sınıf: 20, 6. Sınıf: 12, Hazırlık: 10, Belirtilmedi: 4;50 Şehir (İstanbul: 119, Ankara: 37, Diyarbakır: 21, İzmir: 18, Batman: 12, Van: 11, Eskişehir: 9, Bursa: 8, Trabzon: 8, Diğer: 117);Sertifikasyon süreci yoktur.
AirforSkills;2025;Veri Yok;Veri Yok;Veri Yok;Veri Yok;Veri Yok;Veri Yok;Veri Yok
Core Python #3;2024;398;88;69;78.41%;Genel (Lisans/Lise karışık);Ulusal (Çevrim içi);Tamamlama Oranı: %92. Memnuniyet: Mentor %82, Takım Çalışması %91, Proje %82, Python %85.
Core Python #2;2023;Veri Yok;147;112;76.19%;Genel (Lisans/Lise karışık);Ulusal (Çevrim içi);Tamamlama Oranı: %94.
YetGen & Workflex;2025;Veri Yok;Veri Yok;Veri Yok;Veri Yok;Veri Yok;Veri Yok;Veri Yok
YetGen & Habitat EmpowerMe;2025;Veri Yok;30;30;100.00%;Lisans: 22, Lisans Mezunu: 5, Lisansüstü: 3;Tek Şehir (İstanbul: 30);Eğitim Sonu Değerlendirme Anketi Puanı: 5 üzerinden 4.86. Katılımcılar sunum denemeleri ile zaman yönetimi ve eğitmenlik becerilerinde gelişim göstermiştir.
