Name,Cinsiyet,Doğum Yılı,Eğitim Durumu,Sınıf (üni),Kayıtlı olduğun üniversite,Kayıtlı olduğun bölüm,Mezun olduğun üniversite,Mezun olduğun bölüm
recxxTaE4br5ZuQCl,Erkek,2003,Lisans,1,Fırat Üniversitesi (Elazığ),Havacılık Elektrik ve Elektroniği,,
recvgJh3rrLsLVjMP,Kadın,2000,Lisansüstü,,,,İstanbul Medeniyet Üniversitesi,İlköğretim Matematik Öğretmenliği
rec6qV5RaQllp3Kso,Kadın,2003,Lisans,2,Anadolu Üniversitesi (Eskişehir),Eczacılık Fakültesi,,
recD3hY8VXEhPaOR2,Kadın,2000,Lisansüstü,,,,İzmir Yüksek Teknoloji Enstitüsü,Matematik (İngilizce)
reczJkjcceXIXYjP0,Kadın,2003,Lisans,3,Alanya Alaaddin Keykubat Üniversitesi (Antalya),Endüstri Mühendisliği,,
recLa8uwKSW0jVLui,Kadın,2005,Lisans,1,Iğdır Üniversitesi,Bilgisayar Mühendisliği,,
rec01FRyEQKNlUaU8,Kadın,2004,Lisans,1,İstanbul Medipol Üniversitesi,Endüstri Mühendisliği,,
recjXqARNyxjpWC6P,Kadın,2004,Lisans,2,Doğuş Üniversitesi (İstanbul),Endüstri Mühendisliği,,
recfWyMHKBatsswXQ,Erkek,2000,Lisans,4,Gazi Üniversitesi (Ankara),Bilgisayar Mühendisliği,,
rechh5MyMKQsLcxxy,Erkek,2005,Lisans,2,Siirt Üniversitesi,Bilgisayar Mühendisliği,,
recS6oDVhnLDGdxxK,Erkek,2002,Lisans,3,Süleyman Demirel Üniversitesi (Isparta),Fizik,,
reciSaAAjqBTaezg6,Kadın,1994,Lisans Mezunu,,,,Süleyman Demirel Üniversitesi (Isparta),İngilizce Öğretmenliği
recmLewB7ntSVszDy,Kadın,2006,Lisans,1,Yıldız Teknik Üniversitesi,Endüstri Mühendisliği,,
recfx9O1ChU94YfTq,Kadın,2002,Lisans,4,Çukurova Üniversitesi (Adana),İnşaat Mühendisliği,,
recO9IRa0JAXd7LFz,Erkek,2001,Lisans,3,İstanbul Teknik Üniversitesi,İşletme Mühendisliği (İngilizce),,
rec7JpJzX7Dkj5eWk,Kadın,2001,Lisans,3,Çankaya Üniversitesi (Ankara),Endüstri Mühendisliği,,
recX76JPOSaoK7wnZ,Erkek,2003,Lisans,3,Erciyes Üniversitesi (Kayseri),Bilgisayar Mühendisliği,,
recy3HwOhrGdsTY6Q,Erkek,2005,Lisans,1,Ankara Yıldırım Beyazıt Üniversitesi,Endüstri Mühendisliği,,
recG1wipvjSCUF9OO,Kadın,2005,Lisans,1,Sağlık Bilimleri Üniversitesi (İstanbul),Dil ve Konuşma Terapisi,,
recFlsC9Qa5mPpp1F,Kadın,2004,Lisans,3,İstanbul Üniversitesi,Ekonometri,,
recnQYEnJF94fMAaY,Kadın,2003,Lisans,Hazırlık,Boğaziçi Üniversitesi (İstanbul),Fizik Öğretmenliği,,
recyTgFyZUrPK3Ov6,Kadın,2006,Lisans,Hazırlık,Türk-Alman Üniversitesi (İstanbul),İktisat (Almanca),,
recqfR3kONj3hCvz4,Erkek,1996,Lisansüstü,,,,Bursa Uludağ Üniversitesi,Yönetim Bilişim Sistemleri
recte8JuKqlQYzsMP,Erkek,2003,Lisans,4,Gazi Üniversitesi (Ankara),İstatistik,,
recflUUqWZFKSrfW9,Kadın,2003,Lisans,2,İstanbul Üniversitesi,Matematik,,
recaReaZGejsIs6ea,Kadın,2004,Lisans,2,Trakya Üniversitesi (Edirne),Genetik ve Biyomühendislik,,
rec1Q8EsmrzZgDevK,Erkek,2003,Lisans,2,Bandırma Onyedi Eylül Üniversitesi (Balıkesir),Yönetim Bilişim Sistemleri,,
recnXl65fgxtdxvrE,Kadın,2000,Lisans Mezunu,,,,İstanbul Sabahattin Zaim Üniversitesi,Gıda Mühendisliği (İngilizce)
recKWeraSBHVtWqpQ,Kadın,1995,Lisansüstü,,,,Çanakkale Onsekiz Mart Üniversitesi,Sosyoloji
